
CHEAPEST MEALS IN ZURICH:

6.1 CHF | Untere Mensa UZH | garden | SWEET & SOUR
6.1 CHF | Obere Mensa UZH | farm | GEMÜSESCHNITZEL
7.0 CHF | ETH Polyterrasse | GARDEN | Spargel Risotto
7.0 CHF | ETH Polyterrasse | GARDEN ABEND | Paneer Tikka Masala
7.5 CHF | Untere Mensa UZH | butcher | RIND GHACKETS
7.5 CHF | Obere Mensa UZH | butcher | RIND GHACKETS
7.9 CHF | Food&Lab | Pasta | PASTA PLAUSCH
7.9 CHF | Archimedes | The Gardener | Burratine Cremosa
8.5 CHF | ETH Polyterrasse | VEGAN | Plantbased Geschnetzeltes Zürcher Art
8.5 CHF | ETH Polyterrasse | HOME | Tortellini carne
8.5 CHF | ETH Polyterrasse | HOME ABEND | Chicken Tikka Masala
8.9 CHF | Archimedes | The Chef | Kalbsbratwurst
9.0 CHF | Untere Mensa UZH | pure asia | SCHNITZEL TON KATSU
9.5 CHF | ETH Polyterrasse | POLY-BOWLS | Poly-Bowls
9.5 CHF | Archimedes | The Farmer | Grüne Teigwaren Salat Bowl
9.9 CHF | Obere Mensa UZH | voll anders | PANIERTES SCHNITZEL
9.9 CHF | Archimedes | The Traveller | Randen Falafel
10.9 CHF | Food&Lab | East | ORGANIC BEAN BURGER
11.5 CHF | ETH Polyterrasse | STREET ABEND | Cheese Burger
11.9 CHF | Food&Lab | West | FOODLAB CHEESE BURGER
12.5 CHF | ETH Polyterrasse | STREET | Greek Chicken
12.5 CHF | Archimedes | The Expert | Avocado Chicken Burger
EMAIL SENT!
